,no,s,n,marketCap,price,change,revenue,url
122,123,hose/AGR,Agribank Securities Corporation,4017047036300.0,18600,1.3623978201634876,378738249361.0,quote/hose/AGR
123,124,hose/PTB,Phu Tai JSC,3902508894900.0,58300,0.690846286701209,6077971765022.0,quote/hose/PTB
124,125,hose/SHP,Southern Hydropower JSC,3785117564800.0,37200,-1.195219123505976,627846753679.0,quote/hose/SHP
125,126,hose/STG,South Logistics JSC,3723802230300.0,37900,-0.9150326797385622,2279293073411.0,quote/hose/STG
126,127,hose/PPC,Pha Lai Thermal Power JSC,3719111426400.0,11600,-0.8547008547008548,7700365713688.0,quote/hose/PPC
127,128,hose/BCG,Bamboo Capital JSC,3547248895320.0,4030,-1.707317073170732,4371857554867.001,quote/hose/BCG
128,129,hose/MIG,Military Insurance Corporation,3475034062500.0,17500,-1.1299435028248588,3958706371432.0,quote/hose/MIG
129,130,hose/TVS,Thien Viet Securities JSC,3390004062200.0,20300,0.24691358024691357,941424959154.0,quote/hose/TVS
130,131,hose/QCG,Quoc Cuong Gia Lai JSC,3356575520200.0,12300,-1.2048192771084338,729258084393.0,quote/hose/QCG
131,132,hose/AAA,An Phat Bioplastics JSC,3299028900480.0,8630,-1.596351197263398,12782355466948.0,quote/hose/AAA
132,133,hose/DVP,Dinh Vu Port Development and Investment JSC,3288000000000.0,82200,0.0,694341855567.0,quote/hose/DVP
133,134,hose/CRE,Century Land JSC,3282843256080.0,7080,-0.42194092827004215,1538861395434.0,quote/hose/CRE
134,135,hose/DRC,Danang Rubber JSC,3189581444250.0,26850,-1.1049723756906076,4673028857122.0,quote/hose/DRC
135,136,hose/FMC,Sao Ta Foods JSC,3141936116450.0,49050,0.0,6912623489158.0,quote/hose/FMC
136,137,hose/TRA,Traphaco JSC,3129515770000.0,75500,-0.6578947368421052,2336889725069.0,quote/hose/TRA
137,138,hose/HHS,Hoang Huy Investment Services JSC,3039564095680.0,8360,0.2398081534772182,571225175340.0,quote/hose/HHS
138,139,hose/SGN,Saigon Ground Services JSC,3018023190000.0,90000,-3.9487726787620065,1494133595454.0,quote/hose/SGN
139,140,hose/DPG,Dat Phuong Group JSC,2998778770400.0,49000,1.0309278350515465,3577129672372.0,quote/hose/DPG
140,141,hose/VFG,Vietnam Fumigation JSC,2994965685200.0,71800,-0.13908205841446453,3497604332595.0,quote/hose/VFG
141,142,hose/ASM,Sao Mai Group Corporation,2987338477500.0,8100,0.0,11940234877899.0,quote/hose/ASM
142,143,hose/NCT,Noibai Cargo Terminal Services JSC,2982893448000.0,114400,0.0,920644864614.0,quote/hose/NCT
143,144,hose/PGD,PetroVietNam Low Pressure Gas Distribution JSC,2969919330000.0,30000,-1.639344262295082,10937645849520.0,quote/hose/PGD
144,145,hose/TDP,Thuan Duc JSC,2920156475000.0,33100,0.4552352048558422,4388226233043.0,quote/hose/TDP
145,146,hose/AGG,An Gia Real Estate Investment and Development Corporation,2909252649900.0,17900,3.768115942028986,1913398478509.0,quote/hose/AGG
146,147,hose/SGT,Saigon Telecommunication & Technologies Corporation,2886068601000.0,19500,0.0,210053619219.0,quote/hose/SGT
147,148,hose/RAL,Rang Dong Light Source & Vacuum Flask JSC,2802142861000.0,119000,-0.41841004184100417,9653854381861.0,quote/hose/RAL
148,149,hose/VPD,Viet Nam Power Development JSC,2797977761250.0,26400,0.18975332068311196,,quote/hose/VPD
149,150,hose/BMI,Bao Minh Insurance Corporation,2772234896200.0,20900,-1.647058823529412,5414603208780.0,quote/hose/BMI
150,151,hose/SCR,Sai Gon Thuong Tin Real Estate JSC,2755808230400.0,6350,0.315955766192733,799116768725.0,quote/hose/SCR
151,152,hose/SAM,Sam Holdings Corporation,2739518600910.0,7320,-0.9472259810554804,4038231222587.0,quote/hose/SAM
152,153,hose/TNH,Thai Nguyen International Hospital JSC,2739444130000.0,19200,0.7874015748031495,,quote/hose/TNH
153,154,hose/KHG,Khai Hoan Land Group JSC,2660656413600.0,5500,-0.7220216606498195,,quote/hose/KHG
154,155,hose/DHC,Dong Hai Joint Stock Company of Ben Tre,2660295236400.0,33050,-1.195814648729447,3596507144729.0,quote/hose/DHC
