Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price
APS,2021,1,872.8960955,11126.08164,0.230971575,0.239068314,5.10648512,0.021172184,1.087534713,0.024793388,0.20553719,4.72E+11,4.43E+11,8.29
APS,2021,2,47.48813338,10613.41389,0.221322878,0.22776962,12.54932501,0.03653325,2.298977526,0.012295082,0.17397541,1.90E+12,4.54E+11,14.15
APS,2021,3,1168.48587,11835.72332,0.309875177,0.320252039,7.062607927,0.036792964,2.213637418,0.011450382,0.240458016,2.17E+12,9.60E+11,21
APS,2021,4,5155.007277,16990.7306,0.55608885,0.621618074,2.69324443,0.125543147,1.559673956,0.011320755,0.44490566,2.20E+12,1.61E+12,39.3
APS,2020,1,0,0,0,0,0,0.04466409,0,0,0,0,3.62E+11,1.77
APS,2020,2,0,0,0,0,0,0.062286048,0,0,0,0,3.72E+11,2.33
APS,2020,3,359.4817019,9309.379238,0.044348006,0.046369842,18.74369958,0.025187864,0.837864674,0,0,3.04E+11,3.72E+11,2.42
APS,2020,4,1054.078384,10260.81451,0.14756157,0.152885856,6.99909737,0.029704088,0.99407313,0.029411765,0.125882353,3.98E+11,4.12E+11,4.28
ARM,2024,1,440.9791928,12465.99026,0.026771353,0.122689287,24.74083122,0.76979389,2.944010001,0.027247956,0.765395095,1.14E+11,1.68E+11,28.09
ARM,2024,2,356.274553,11663.36348,0.023972425,0.106978404,19.67511605,0.756207976,2.186333302,0.039215686,1.60392157,79337716500,1.49E+11,40.9
ARM,2024,3,380.4296417,12043.79312,0.01795679,0.080804161,25.75843018,0.781263088,2.084061038,0.039840638,1.11553785,78093203300,1.71E+11,28
ARM,2023,1,252.5474346,11725.06423,0.022677348,0.078360338,33.05584077,0.710161079,2.507448952,0.034013605,1.453061223,91471720200,1.26E+11,42.72
ARM,2023,2,543.5990149,11565.08764,0.029129071,0.109575167,20.7322793,0.782695586,2.256792237,0.038314176,1.091187738,81204486300,1.66E+11,28.48
ARM,2023,3,702.044724,12267.13236,0.038165657,0.151204374,13.72495372,0.773898929,1.989054922,0.040983607,0.865573771,75915305200,1.69E+11,21.12
ARM,2023,4,-203.245123,12025.01107,0.026307708,0.106910811,21.25677909,0.798966705,2.220372176,0.037453184,1.095505617,83071256100,1.87E+11,29.25
ARM,2022,1,126.0182102,11758.9258,0.015451094,0.053217079,73.76963866,0.622079563,3.826880174,0.02,0.9302,1.40E+11,96807005686,46.51
ARM,2022,2,174.0966617,11009.91192,0.020853038,0.069276975,50.19927293,0.704253667,3.605841743,0.022670025,0.948967255,1.24E+11,1.16E+11,41.86
ARM,2022,3,183.1673956,11193.07932,0,0,51.7896112,0.725693852,4.467045982,0.018,0.67824,1.56E+11,1.27E+11,37.68
ARM,2022,4,279.5925986,11472.51679,0.019827777,0.065843926,58.99939093,0.701181103,3.922417445,0.011111111,0.527333333,1.40E+11,1.19E+11,47.46
ARM,2021,1,129.9746802,11832.32494,0.005302131,0.027536162,152.2291366,0.775711051,4.056683726,0.01875,0.5175,1.49E+11,1.64E+11,27.6
ARM,2021,2,-6.744391301,11197.41413,0.014498948,0.07177368,54.51814098,0.742277971,4.018785004,0.02,0.8832,1.40E+11,1.35E+11,44.16
ARM,2021,3,8.570912386,11205.98505,0.010856363,0.049227039,88.4409695,0.7499521,4.461901367,0.018,0.83718,1.56E+11,1.39E+11,46.51
ARM,2021,4,482.1623234,11694.988,0.012319997,0.053066221,80.54082711,0.696739692,4.275335724,0,0,1.56E+11,1.20E+11,46.51
ARM,2020,1,446.6381747,16266.57897,0.033348783,0.174975597,7.445597292,0.76303546,1.254105122,0.06372549,1.348431373,52891896000,1.78E+11,21.16
ARM,2020,2,-516.8435713,11000.16722,0.017711897,0.080811486,14.97714322,0.794804291,1.399978718,0.084415584,1.611493506,47913758200,1.67E+11,19.09
ARM,2020,3,268.6353916,11268.80261,0.01289257,0.059264726,55.44895991,0.824557451,3.593993204,0.032098765,0.413432098,1.26E+11,2.00E+11,12.88
ARM,2020,4,433.5476442,11702.35026,0.009790798,0.044378727,71.74403437,0.826074133,3.418116799,0,0,1.24E+11,2.09E+11,46
