Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600717.SS,"Tianjin Port Holdings Co., Ltd.",Industrials,Marine Shipping,2020,0.24,5.818564955,0.017907023,1.625988545,0.075,15.24601976,0.262654365,0.628856904,0.020497153,10589275953,38349401934,3.659044743
600718.SS,Neusoft Corporation,Technology,Software - Application,2020,0.11,6.93753689,0.007952473,1.956009552,0,92.61886423,0.118877922,1.468543552,0,12263385630,16495958706,10.18807507
600720.SS,"CCCC Design & Consulting Group Co., Ltd.",Basic Materials,Building Materials,2020,1.8512,3.405898499,0.130644059,1.280822423,0.58,6.46396557,0.041212141,3.513344002,0.04847029,27457396377,10999911625,11.96609306
600724.SS,Ningbo Fuda Company Limited,Real Estate,Real Estate Services,2020,0.2918,2.043139246,0.101389155,1.195456771,0.27,10.19245799,0.014997446,1.455681127,0.090781958,4298374091,4159104775,2.974159241
600727.SS,"Shan Dong Lu Bei Chemical Co.,Ltd",Basic Materials,Chemicals,2020,0.56,5.077199909,0.049321267,1.625080942,0,11.73501185,0.085339354,1.294336791,0,3473639603,4680157180,6.571606636
600728.SS,"Pci Technology Group Co.,Ltd.",Technology,Information Technology Services,2020,0.0536,2.544514908,0.008654942,1.92962451,0.04,140.1982023,0.041686875,2.953263751,0.005322955,16102335540,10609474926,7.514623642
600729.SS,"Chongqing Department Store Co.,Ltd.",Consumer Cyclical,Department Stores,2020,2.58,14.86190277,0.051311046,3.052493271,0.73,7.99377057,0.25165635,1.387704414,0.035395779,9085830263,20463694458,20.62392807
600731.SS,"Hunan Haili Chemical Industry Co.,Ltd.",Basic Materials,Agricultural Inputs,2020,0.83,2.706678252,0.092824633,1.908428398,0,7.103096146,0.198116662,2.17815686,0,3294102556,3193068140,5.895569801
600732.SS,"Shanghai Aiko Solar Energy Co.,Ltd.",Technology,Solar,2020,0.3,2.923351144,0.063175518,2.185444611,0,37.06662814,0.231331042,3.803849724,0,20325003140,12749520779,11.11998844
600735.SS,"Shandong Hiking International Co.,Ltd",Industrials,Industrial Distribution,2020,0.119,2.178685496,0.033392554,1.307123169,0.063,40.77140824,0.048485516,2.226938027,0.012984878,2080343985,1339577021,4.851797581
600736.SS,"Suzhou New District Hi-Tech Industrial Co.,Ltd",Real Estate,Real Estate - Development,2020,0.13,8.222196622,0.005526056,3.532465925,0.052,34.78396856,0.332269799,0.549964458,0.01149955,5206036499,54660431975,4.521915913
600737.SS,"Cofco Sugar Holding CO.,LTD.",Consumer Defensive,Packaged Foods,2020,0.2474,4.210437666,0.029930157,1.928796819,0.125,32.83127913,0.169609951,1.9291245,0.015389429,17372720663,17679364181,8.122458458
