Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2024,194023,22698,354.38,-,1157858,310140,847718,12237.01,1534019,17.8,1.61,1.81,5.52%,12.99%,6.59%,-,OPC,9/30/2024 0:00,23.95,OPC
Q2 2024,215873,27657,378.65,-,1145450,320313,825137,11882.86,1569247,16.47,1.6,1.9,8.54%,12.40%,7.03%,-,OPC,6/30/2024 0:00,24.5,OPC
Q1 2024,221151,26288,283.98,-,1200787,298054,902733,13100.55,1505196,14.55,1.46,1.67,6.64%,11.08%,7.94%,-,OPC,3/31/2024 0:00,22.11,OPC
Q4 2023,320178,24466,328,1500,1260821,376657,884164,12832.73,1537221,14.68,1.53,1.74,8.35%,15.00%,7.95%,6.64%,OPC,12/31/2023 0:00,22.58,OPC
Q3 2023,222466,31829,496.93,-,1183652,323604,860048,12451.26,1466765,12.67,1.49,1.71,8.93%,18.05%,9.09%,-,OPC,9/30/2023 0:00,21.55,OPC
Q2 2023,264108,36878,505.06,-,1167162,338758,828405,11954.55,1530816,12.59,1.47,1.85,6.44%,13.69%,9.09%,-,OPC,6/30/2023 0:00,22.49,OPC
Q1 2023,198135,29060,303.89,-,1220347,391322,829025,11972.39,1505196,13.15,1.52,1.82,8.86%,16.56%,8.70%,-,OPC,3/31/2023 0:00,20.74,OPC
Q4 2022,298640,35573,501,500,1246225,374260,871964,12643.58,1761400,13.75,1.5,2.02,10.01%,18.46%,8.07%,6.18%,OPC,12/31/2022 0:00,24.27,OPC
Q3 2022,278392,37632,587.53,1000,1207152,370183,836968,12094.09,1492386,11.56,1.22,1.78,7.69%,14.65%,9.61%,4.86%,OPC,9/30/2022 0:00,20.57,OPC
Q2 2022,214144,28687,394.35,-,1137240,338016,799224,11506.72,1498959,11.89,1.2,1.88,10.69%,21.12%,9.37%,-,OPC,6/30/2022 0:00,20.65,OPC
Q1 2022,380439,40237,516.73,-,1202571,419259,783312,11262.78,1514905,13.15,1.24,1.93,10.02%,19.67%,8.56%,-,OPC,3/31/2022 0:00,20.87,OPC
Q4 2021,352379,36813,516.32,-,1238201,495177,743023,10634.58,1520220,13.46,1.35,2.05,9.52%,18.61%,8.31%,-,OPC,12/31/2021 0:00,20.95,OPC
Q3 2021,298173,34642,540.84,414.938,1232003,498358,733645,10480.3,1514905,14.32,1.43,2.06,4.65%,9.32%,7.82%,6.07%,OPC,9/30/2021 0:00,20.51,OPC
Q2 2021,194242,17939,223.98,-,1194980,494686,700294,9939.46,1514905,16.11,1.55,2.16,9.99%,20.21%,7.04%,-,OPC,6/30/2021 0:00,20.51,OPC
