Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q2 2020,962118,59345,791.11,-,2732479,1399971,1332508,16762.83,1647810,4.65,0.4,1.24,7.14%,20.44%,21.51%,-,MSH,6/30/2020 0:00,16.17,MSH
Q1 2020,939463,63492,846.4,-,2485839,1186542,1299297,16313.45,1165219,2.73,0.27,0.9,Upgrade,Upgrade,36.62%,-,MSH,3/31/2020 0:00,11.44,MSH
Q4 2019,,,,,,,,,,,,,,,,,MSH,12/31/2019 0:00,21.75,MSH
Q3 2024,1341021,27876,104.5,-,4988220,2130002,2858217,10734.86,4453127,114.42,0.96,1.56,2.64%,-0.32%,0.88%,-,ANV,9/30/2024 0:00,16.48,ANV
Q2 2024,1193413,-2287,-8.71,-,4912103,2029831,2882273,10845.66,4293374,-,0.97,1.49,2.39%,2.37%,0.29%,-,ANV,6/30/2024 0:00,15.89,ANV
Q1 2024,1016009,16903,63.48,-,5062440,2197671,2864770,10759.47,4626194,-126.14,1.08,1.61,1.89%,-0.44%,-0.78%,-,ANV,3/31/2024 0:00,17.12,ANV
Q4 2023,1110809,-3174,-13.9,250,5112670,2264803,2847867,10695.98,4140277,-,0.93,1.45,1.44%,0.14%,0.95%,1.63%,ANV,12/31/2023 0:00,15.32,ANV
Q3 2023,1098821,1039,4,-,5359868,2375700,2984168,11207.9,4792604,32.19,1.07,1.61,-0.79%,-6.79%,3.11%,-,ANV,9/30/2023 0:00,17.13,ANV
Q2 2023,1074294,-51044,-191.5,-,5481044,2497915,2983129,11204,4772634,-,1.03,1.6,5.82%,12.49%,5.61%,-,ANV,6/30/2023 0:00,17.06,ANV
Q1 2023,1155198,92371,346.92,-,5713000,2678827,3034174,11395.71,4040431,7.22,0.84,1.33,6.57%,14.73%,13.85%,-,ANV,3/31/2023 0:00,14.44,ANV
Q4 2022,1144279,106526,419,500,5467653,2585450,2882203,11335.84,2866734,4.25,0.59,0.99,7.48%,16.87%,23.50%,4.66%,ANV,12/31/2022 0:00,10.73,ANV
Q3 2022,1238682,119902,471.5,-,5696574,2793769,2902805,11416.87,4983413,8.02,1.04,1.72,14.08%,36.16%,12.47%,-,ANV,9/30/2022 0:00,18.02,ANV
Q2 2022,1294518,240688,946.5,-,5556349,2773446,2782903,10945.29,6737777,13.79,1.59,2.42,12.42%,33.89%,7.25%,-,ANV,6/30/2022 0:00,24.37,ANV
Q1 2022,1219168,206630,812.5,-,5098665,2556450,2542216,9998.66,5561845,20.48,1.39,2.19,4.80%,9.17%,4.88%,-,ANV,3/31/2022 0:00,20.12,ANV
Q4 2021,1057900,54367,213.88,500,4887180,2551594,2335586,9185.97,4233358,32.88,1.21,1.81,-0.53%,-2.18%,3.04%,3.27%,ANV,12/31/2021 0:00,15.31,ANV
Q3 2021,655800,-13169,-52,-,4828559,2420212,2408347,9472.14,3642214,-,1.08,1.51,2.29%,3.94%,4.42%,-,ANV,9/30/2021 0:00,12.82,ANV
Q2 2021,1074368,23742,93.38,-,5043725,2622209,2421516,9523.94,4347773,20.3,1.23,1.8,4.55%,10.79%,4.93%,-,ANV,6/30/2021 0:00,15.3,ANV
Q1 2021,705859,63800,250.93,-,4823730,2425956,2397774,9430.56,2892159,12.99,0.87,1.21,5.02%,14.72%,7.70%,-,ANV,3/31/2021 0:00,10.18,ANV
Q4 2020,935109,86654,340.63,500,4834080,2500105,2333974,9179.63,3165484,15.66,0.92,1.36,3.32%,6.80%,6.39%,4.49%,ANV,12/31/2020 0:00,11.14,ANV
Q3 2020,808297,40023,157.5,-,4340136,1965687,2374449,9338.82,2434499,7.77,0.63,1.03,2.57%,5.40%,12.87%,-,ANV,9/30/2020 0:00,8.19,ANV
Q2 2020,884093,32134,126.38,-,3991246,1656820,2334426,9181.41,2123036,4.98,0.51,0.91,3.22%,7.20%,20.07%,-,ANV,6/30/2020 0:00,7.14,ANV
Q1 2020,811165,43360,170.5,-,4171358,1741939,2429419,9555.02,1595455,2.92,0.36,0.66,14.17%,34.57%,34.26%,-,ANV,3/31/2020 0:00,5.06,ANV
Q4 2019,,,,,,,,,,,,,,,,,ANV,12/31/2019 0:00,9.23,ANV
Q3 2024,507753,72849,659.27,-,1837776,318132,1519644,13240.21,4270822,20.39,2.41,2.81,12.55%,19.63%,5.49%,-,CSV,9/30/2024 0:00,38.65,CSV
Q2 2024,480504,66778,604.17,-,1809852,258445,1551407,13580.93,3049800,16.5,1.83,1.97,8.29%,13.61%,6.88%,-,CSV,6/30/2024 0:00,26.6,CSV
Q1 2024,351247,46662,422.28,-,1673783,187849,1485933,12999.21,2864160,17.04,1.85,1.93,8.67%,14.84%,6.74%,-,CSV,3/31/2024 0:00,24.98,CSV
Q4 2023,431326,48163,209.69,600,1721955,285728,1436227,12576.93,1812200,9.84,1.14,1.26,8.19%,14.16%,11.54%,8.86%,CSV,12/31/2023 0:00,15.81,CSV
Q3 2023,407712,48227,436.4,400,1659195,235044,1424150,12464.05,1905020,10.46,1.16,1.34,7.84%,15.21%,10.78%,8.43%,CSV,9/30/2023 0:00,16.62,CSV
Q2 2023,357787,50040,452.85,400,1683871,221861,1462010,12641.16,1522690,6.47,0.84,1.04,12.13%,19.63%,16.98%,10.98%,CSV,6/30/2023 0:00,12.75,CSV
Q1 2023,391617,62709,567.5,-,1693594,232741,1460853,12680.88,1211080,4.03,0.6,0.83,8.62%,14.22%,26.65%,-,CSV,3/31/2023 0:00,9.82,CSV
Q4 2022,485581,44325,191.95,600,1718419,289502,1428917,12218.31,1339260,4.25,0.64,0.94,20.37%,33.89%,26.47%,13.29%,CSV,12/31/2022 0:00,10.54,CSV
Q3 2022,574486,101427,773.2,400,1756013,333573,1422440,12217.18,1779050,5.12,0.83,1.25,24.15%,40.08%,21.68%,5.72%,CSV,9/30/2022 0:00,14,CSV
Q2 2022,561649,114238,1280.85,400,1713531,391370,1322161,11444.08,1975740,6.93,1.03,1.49,22.88%,37.37%,16.37%,2.57%,CSV,6/30/2022 0:00,15.54,CSV
Q1 2022,482535,94448,702.7,-,1553337,308082,1245255,10878.31,2762500,12.17,1.57,2.22,18.33%,29.48%,9.62%,-,CSV,3/31/2022 0:00,21.07,CSV
Q4 2021,521640,75545,484.11,-,1455842,296132,1159711,10181.26,1880710,10.05,1.19,1.62,8.87%,14.51%,11.13%,-,CSV,12/31/2021 0:00,14.34,CSV
Q3 2021,356078,39104,354,-,1335785,240039,1095747,9671.1,2333760,15.15,1.67,2.13,13.85%,21.76%,7.30%,-,CSV,9/30/2021 0:00,17.8,CSV
Q2 2021,403713,56693,512.86,-,1328465,228341,1100124,9717.16,1286220,8.13,0.94,1.17,8.97%,14.41%,13.57%,-,CSV,6/30/2021 0:00,9.45,CSV
Q1 2021,295339,37919,343.18,-,1247212,205931,1041280,9196.65,1356940,8.86,1.04,1.3,9.14%,14.46%,12.50%,-,CSV,3/31/2021 0:00,9.97,CSV
Q4 2020,344347,36706,184.17,400,1299057,294647,1004410,8853.28,1286220,7.92,0.96,1.28,10.17%,16.76%,13.90%,8.46%,CSV,12/31/2020 0:00,9.45,CSV
Q3 2020,325455,43269,391.6,-,1276297,246466,1029831,9083.99,1197820,6.46,0.85,1.16,12.88%,21.33%,17.50%,-,CSV,9/30/2020 0:00,8.49,CSV
Q2 2020,341017,51694,468,400,1307844,295535,1012310,8892.41,928200,4.5,0.63,0.92,11.97%,19.79%,24.83%,12.46%,CSV,6/30/2020 0:00,6.42,CSV
Q1 2020,328595,47052,425.64,-,1266180,282826,983354,8639.81,782340,3.71,0.5,0.8,16.94%,29.36%,30.04%,-,CSV,3/31/2020 0:00,5.29,CSV
Q4 2019,,,,,,,,,,,,,,,,,CSV,12/31/2019 0:00,6.43,CSV
Q3 2024,706560,5950,10,-,35218796,25815094,9403702,19615.81,4941061,13.31,1.62,0.53,1.86%,5.12%,7.79%,-,CII,9/30/2024 0:00,14.97,CII
Q2 2024,699294,5999,10.71,-,35664345,26332339,9332007,19591.26,4988877,12.93,1.62,0.53,1.88%,14.32%,8.03%,-,CII,6/30/2024 0:00,15.12,CII
Q1 2024,878055,259431,586.95,-,36205094,26677371,9527723,20224.09,6080768,14.8,1.89,0.64,1.41%,7.53%,7.08%,-,CII,3/31/2024 0:00,18.02,CII
Q4 2023,766306,113510,420.98,-,33184095,24678766,8505328,19839.25,5491793,30.81,1.78,0.65,1.75%,4.76%,3.25%,-,CII,12/31/2023 0:00,15.93,CII
Q3 2023,732067,21508,63,-,26080625,18022614,8058011,21039.94,5481577,235.84,1.31,0.68,0.73%,4.04%,0.60%,-,CII,9/30/2023 0:00,17.44,CII
Q2 2023,843287,36096,110.93,-,26649204,18542369,8106834,20962.25,5745410,459.12,1.02,0.71,1.51%,1.67%,0.33%,-,CII,6/30/2023 0:00,16.45,CII
Q1 2023,748051,7126,26.84,-,29005958,20666514,8339444,21376.07,3682443,65.37,0.64,0.44,1.28%,0.39%,1.51%,-,CII,3/31/2023 0:00,13.19,CII
Q4 2022,1857468,-31780,-119.69,1500,28559496,20258490,8301006,21350.7,3253666,-,0.57,0.39,1.87%,2.46%,21.37%,12.87%,CII,12/31/2022 0:00,11.66,CII
Q3 2022,2183825,7391,29.75,-,29295660,20932370,8363291,21499.33,4877748,15.05,1.08,0.58,2.48%,5.56%,7.39%,-,CII,9/30/2022 0:00,17.49,CII
Q2 2022,994949,72731,222.21,-,30171688,21747766,8423922,21764.65,3852818,12.08,1.48,0.46,1.15%,33.05%,9.22%,-,CII,6/30/2022 0:00,14.32,CII
Q1 2022,711748,646805,3566.23,-,29373298,21165539,8207759,21367.63,7416595,27.07,2.84,0.9,-0.48%,-18.20%,4.18%,-,CII,3/31/2022 0:00,27.65,CII
Q4 2021,636672,-366480,-1527.17,-,30870173,22491395,8378778,20185.8,11082171,-,3.87,1.32,-0.41%,0.55%,-3.00%,-,CII,12/31/2021 0:00,41.93,CII
Q3 2021,258740,2324,10,-,30549560,22757387,7792173,19879.04,4237719,971.79,0.91,0.54,1.60%,3.46%,0.07%,-,CII,9/30/2021 0:00,16.04,CII
Q2 2021,1001073,27342,111.38,-,30241582,22450695,7790887,19908.13,4562602,141.29,0.73,0.59,1.54%,2.47%,0.67%,-,CII,6/30/2021 0:00,17.26,CII
Q1 2021,963548,4411,18.99,-,29955084,22201338,7753745,19849.8,6102318,491.08,1.04,0.79,1.39%,0.57%,0.20%,-,CII,3/31/2021 0:00,23.09,CII
Q4 2020,2425174,-31280,-131.7,-,29547034,21761422,7785612,20063.1,5111139,-,0.95,0.66,0.96%,3.84%,4.97%,-,CII,12/31/2020 0:00,19.34,CII
Q3 2020,1821064,30255,125,-,30570151,22080002,8490149,21656.11,4311031,-221.26,1.31,0.51,0.95%,4.82%,-0.06%,-,CII,9/30/2020 0:00,15.43,CII
Q2 2020,655833,8989,43.21,-,30637016,22212153,8424863,21542.9,4171565,12.2,2.18,0.5,0.43%,12.54%,8.59%,-,CII,6/30/2020 0:00,15.52,CII
Q1 2020,472022,245959,749.81,-,31179669,22267874,8911795,21700.29,4485873,11.86,2.62,0.5,Upgrade,Upgrade,8.89%,-,CII,3/31/2020 0:00,15.47,CII
Q4 2019,,,,,,,,,,,,,,,,,CII,12/31/2019 0:00,19.23,CII
Q3 2024,332791,90068,2244,-,1588771,435890,1152881,31122.01,3963698,12.47,3.04,3.44,16.85%,31.79%,8.59%,-,PDN,9/30/2024 0:00,105.16,PDN
Q2 2024,321771,85326,2113.23,-,1530779,468818,1061960,28667.61,4352659,14.12,3.43,4.1,18.72%,32.60%,7.60%,-,PDN,6/30/2024 0:00,115.48,PDN
Q1 2024,313495,85003,2119.11,-,1412866,327400,1085465,29302.12,4200779,13.8,3.35,3.87,17.83%,32.60%,7.76%,-,PDN,3/31/2024 0:00,109.31,PDN
Q4 2023,334881,80094,1896.06,-,1359306,358844,1000462,27007.46,3482127,12.64,2.98,3.48,18.17%,34.82%,8.46%,-,PDN,12/31/2023 0:00,90.61,PDN
Q3 2023,300322,80479,2005,1200,1368273,403453,964820,26045.31,4093352,17.41,3.74,4.24,17.98%,36.52%,6.24%,2.57%,PDN,9/30/2023 0:00,105.24,PDN
Q2 2023,304629,80611,2007.84,-,1328835,444494,884341,23872.78,4556401,20.52,4.26,5.15,13.57%,24.99%,5.32%,-,PDN,6/30/2023 0:00,117.14,PDN
Q1 2023,227405,53391,1267.8,-,1229478,348146,881333,23791.57,2854233,13.16,2.69,3.24,10.60%,19.90%,8.32%,-,PDN,3/31/2023 0:00,72.16,PDN
Q4 2022,262539,41087,1004.6,1500,1238256,410315,827942,22350.27,2589369,12.21,2.43,3.13,15.98%,34.13%,9.04%,3.82%,PDN,12/31/2022 0:00,65.47,PDN
Q3 2022,275531,67426,1649,1000,1270573,446675,823899,22241.13,2037415,10.08,2,2.47,19.02%,40.23%,11.00%,4.44%,PDN,9/30/2022 0:00,50.71,PDN
Q2 2022,295929,75617,1869.63,-,1255156,498683,756473,20420.98,1881831,10.9,1.97,2.49,13.31%,27.21%,10.35%,-,PDN,6/30/2022 0:00,45.68,PDN
Q1 2022,233547,50063,1152,-,1208142,461040,747102,20168.01,2013336,13.24,2.21,2.69,8.51%,17.49%,8.57%,-,PDN,3/31/2022 0:00,48.87,PDN
Q4 2021,214086,31009,732.19,1250,1141848,417026,724821,19566.55,1724394,12.24,1.93,2.38,10.60%,22.53%,9.32%,4.85%,PDN,12/31/2021 0:00,41.25,PDN
Q3 2021,210140,38002,898.5,750,1149090,455278,693812,18729.46,1746620,11.59,1.91,2.52,14.88%,32.48%,9.88%,4.19%,PDN,9/30/2021 0:00,41.78,PDN
Q2 2021,251973,53395,1321.43,-,1126125,470315,655811,17703.6,1518800,9.41,1.65,2.32,12.09%,23.47%,12.06%,-,PDN,6/30/2021 0:00,35.47,PDN
Q1 2021,216313,38375,844.76,-,1043420,384177,659243,17796.26,1583627,11,1.88,2.4,12.40%,27.29%,10.52%,-,PDN,3/31/2021 0:00,36.98,PDN
Q4 2020,235207,42797,999.22,1000,1016066,367415,648650,17510.31,1426190,10.21,1.8,2.2,14.22%,33.47%,11.18%,5.35%,PDN,12/31/2020 0:00,32.71,PDN
Q3 2020,218681,48665,1156,750,992315,386461,605854,16355.02,1355807,10.38,1.76,2.24,10.80%,26.22%,10.96%,4.82%,PDN,9/30/2020 0:00,31.1,PDN
Q2 2020,170975,36781,975.3,-,963230,406041,557189,15041.3,1481756,12.15,2.01,2.66,10.05%,22.16%,9.44%,-,PDN,6/30/2020 0:00,33.99,PDN
Q1 2020,168724,31219,615.53,-,913113,347928,565184,15257.15,1129839,9.69,1.53,2,Upgrade,Upgrade,11.85%,-,PDN,3/31/2020 0:00,25.34,PDN
Q4 2019,,,,,,,,,,,,,,,,,PDN,12/31/2019 0:00,27.99,PDN
Q3 2024,1104608,81090,796.13,-,3758710,1548622,2210088,21601.13,4970526,22.52,1.34,2.25,5.30%,13.77%,4.77%,-,TCM,9/30/2024 0:00,48.8,TCM
Q2 2024,846712,71430,653.53,-,3692315,1563724,2128591,20805,5010918,25.91,1.43,2.35,5.62%,12.27%,4.18%,-,TCM,6/30/2024 0:00,49.25,TCM
Q1 2024,934148,62621,535.71,-,3234604,1161846,2072758,20246.06,4199286,34.05,1.24,2.03,3.49%,4.47%,3.33%,-,TCM,3/31/2024 0:00,41.23,TCM
Q4 2023,814601,21718,181.24,-,3279364,1269228,2010137,19635.7,3772806,32.07,1.13,1.88,5.14%,11.05%,3.50%,-,TCM,12/31/2023 0:00,37.05,TCM
Q3 2023,919285,53766,527.87,-,3275253,1287478,1987776,19421.95,3904759,26.11,1.13,1.96,2.58%,0.47%,4.35%,-,TCM,9/30/2023 0:00,38.34,TCM
Q2 2023,714498,1888,-34.33,-,3348677,1415061,1933616,18894.11,4613598,-,1.23,2.39,4.82%,11.12%,4.51%,-,TCM,6/30/2023 0:00,45.3,TCM
Q1 2023,876440,54535,480.02,-,3388172,1411689,1976484,19305.69,4105528,17.71,1,2.08,5.18%,12.26%,6.35%,-,TCM,3/31/2023 0:00,40.31,TCM
Q4 2022,937334,59560,493.85,563.154,3477067,1498209,1978857,19333.45,4343174,18.31,1,2.19,8.57%,19.75%,6.43%,1.34%,TCM,12/31/2022 0:00,42.04,TCM
Q3 2022,1229394,91966,902.87,-,3526959,1607830,1919130,18748.72,3540096,16.88,0.84,1.84,5.31%,12.24%,6.90%,-,TCM,9/30/2022 0:00,34.27,TCM
Q2 2022,1048646,54436,398.99,-,3784009,1957356,1826654,17845.85,3809820,33.15,1.01,2.09,5.76%,16.90%,3.92%,-,TCM,6/30/2022 0:00,36.89,TCM
Q1 2022,1122016,73382,532.19,-,3750006,1969987,1780019,17394.79,5380157,40.38,1.45,3.02,1.87%,5.91%,2.86%,-,TCM,3/31/2022 0:00,52.08,TCM
Q4 2021,828517,24382,225,-,3606391,1897856,1708535,16686.25,4646175,34.68,1.31,2.72,-0.63%,-0.59%,3.07%,-,TCM,12/31/2021 0:00,44.98,TCM
Q3 2021,782925,-2855,-28.03,-,3341001,1657540,1683461,16446.89,4617671,-,1.33,2.74,5.23%,14.03%,4.18%,-,TCM,9/30/2021 0:00,44.7,TCM
Q2 2021,978272,58780,578.55,-,3573503,1887537,1685966,16474.91,6427684,24.45,1.76,3.81,5.99%,15.06%,4.38%,-,TCM,6/30/2021 0:00,62.22,TCM
Q1 2021,945701,62210,539.47,-,3070563,1402131,1668431,16302.55,7436148,27.32,2.05,4.46,6.79%,18.89%,4.08%,-,TCM,3/31/2021 0:00,71.99,TCM
Q4 2020,752230,75037,626.09,304.161,2976423,1337688,1638735,16004.32,3222331,13.77,0.93,1.97,8.69%,22.81%,8.54%,0.98%,TCM,12/31/2020 0:00,30.93,TCM
Q3 2020,979585,85193,836.34,-,2935698,1372570,1563128,15267.7,1440590,6.45,0.4,0.92,8.74%,22.65%,18.25%,-,TCM,9/30/2020 0:00,13.83,TCM
Q2 2020,947725,81075,670.34,-,3071490,1634458,1437032,14032.79,1117788,5.69,0.31,0.78,3.94%,9.51%,21.09%,-,TCM,6/30/2020 0:00,10.73,TCM
Q1 2020,790177,33938,163.81,-,2875426,1446625,1428801,13952.54,660248,3.85,0.19,0.46,Upgrade,Upgrade,31.30%,-,TCM,3/31/2020 0:00,6.34,TCM
Q4 2019,,,,,,,,,,,,,,,,,TCM,12/31/2019 0:00,10.4,TCM
Q3 2024,348380,44282,510,-,4399587,1184271,3215316,28436.97,3762161,14.62,3.14,1.17,0.04%,4.65%,6.84%,-,DPR,9/30/2024 0:00,41.77,DPR
Q2 2024,145857,28900,332.81,-,4364372,1289192,3075180,26876.4,3553635,14.2,3.13,1.16,4.86%,13.70%,7.04%,-,DPR,6/30/2024 0:00,39.45,DPR
Q1 2024,273481,96393,1108.57,-,4291872,1171961,3119911,27447.21,3701341,12.57,3.03,1.19,3.53%,12.88%,7.95%,-,DPR,3/31/2024 0:00,41.09,DPR
Q4 2023,429370,87789,886.84,-,4258257,1203919,3054338,27047.62,2745595,13.15,2.64,0.9,2.77%,8.50%,7.61%,-,DPR,12/31/2023 0:00,30.48,DPR
Q3 2023,286092,37124,213.5,-,4342678,1227905,3114773,27841.88,2736907,17.94,2.79,0.88,1.77%,12.07%,6.81%,-,DPR,9/30/2023 0:00,30.38,DPR
Q2 2023,232849,73102,420.5,-,2396329,174651,2221677,25570.05,2519692,12.57,2.43,1.13,1.74%,2.43%,9.30%,-,DPR,6/30/2023 0:00,26.81,DPR
Q1 2023,92811,10827,62.63,-,4193157,1131906,3061251,27558.98,2215591,11.57,2.01,0.72,3.14%,10.45%,10.17%,-,DPR,3/31/2023 0:00,23.57,DPR
Q4 2022,370469,65234,94.33,1500,4198950,1230614,2968336,26570.9,2270400,10.39,1.88,0.76,5.51%,13.28%,11.11%,6.15%,DPR,12/31/2022 0:00,24.41,DPR
Q3 2022,340818,85047,494.5,-,4255624,1183203,3072421,28144.73,2816500,6.8,2.12,0.92,4.22%,10.39%,17.01%,-,DPR,9/30/2022 0:00,28.97,DPR
Q2 2022,295592,64190,248.72,-,3992042,1190039,2802003,26012.19,3087400,7.76,2.39,1.1,2.13%,6.77%,14.99%,-,DPR,6/30/2022 0:00,31.76,DPR
Q1 2022,203852,37820,440,-,3879215,1107626,2771590,25868.09,3659300,10.04,3,1.32,10.33%,47.71%,11.74%,-,DPR,3/31/2022 0:00,37.64,DPR
Q4 2021,490087,292081,2639.12,1000,4032490,1289937,2742553,25486.45,3117500,8.52,2.56,1.14,4.94%,12.06%,13.83%,5.46%,DPR,12/31/2021 0:00,32.07,DPR
Q3 2021,300932,68703,799,-,3748786,1264268,2484518,22762.38,2958400,21.25,2.4,1.19,2.22%,5.41%,6.75%,-,DPR,9/30/2021 0:00,29.85,DPR
Q2 2021,224309,30837,121.76,750,3751247,1192180,2559067,23528.33,2427550,17.3,1.92,0.95,3.02%,8.82%,8.27%,2.93%,DPR,6/30/2021 0:00,25.59,DPR
Q1 2021,201512,39454,491.5,-,3569815,1213071,2356745,22689.22,2006240,14.82,1.62,0.85,5.94%,13.92%,9.76%,-,DPR,3/31/2021 0:00,21.15,DPR
Q4 2020,505474,60656,2.53,-,3775415,1455657,2319759,22280.78,1779534,15.15,1.56,0.77,5.71%,13.64%,10.00%,-,DPR,12/31/2020 0:00,18.76,DPR
Q3 2020,334148,69809,870,-,3600531,1259840,2340691,22793.36,1715335,8.94,1.65,0.73,1.49%,4.33%,11.19%,-,DPR,9/30/2020 0:00,17.09,DPR
Q2 2020,196274,25931,323,1250,3513539,1250850,2262688,21927.81,1572892,10.95,1.57,0.7,1.28%,4.77%,9.13%,7.98%,DPR,6/30/2020 0:00,15.67,DPR
Q1 2020,101702,21542,268.5,-,3632460,1323806,2308654,22376.78,1390324,9.4,1.45,0.6,4.40%,12.56%,10.63%,-,DPR,3/31/2020 0:00,13.85,DPR
Q4 2019,,,,,,,,,,,,,,,,,DPR,12/31/2019 0:00,15.69,DPR
Q3 2024,88099,31437,146,-,3467861,1046645,2421217,11241.02,4157051,32.99,11.24,1.72,2.80%,4.08%,3.03%,-,AGR,9/30/2024 0:00,18.61,AGR
Q2 2024,113188,25119,117,-,3626322,1237671,2388651,11089.82,3984738,32.83,10.61,1.67,4.29%,5.65%,3.05%,-,AGR,6/30/2024 0:00,17.84,AGR
Q1 2024,85374,35495,164.79,-,3550764,1020215,2530548,11748.61,4803225,34.49,13.73,1.9,4.33%,5.49%,2.90%,-,AGR,3/31/2024 0:00,21.51,AGR
Q4 2023,83164,33950,158,700,3062598,567859,2494739,11582.36,3457030,23.4,9.91,1.39,3.43%,4.38%,4.27%,4.52%,AGR,12/31/2023 0:00,15.48,AGR
Q3 2023,94000,26797,126,-,3210720,754774,2455947,11402.26,3737038,26.29,10.35,1.52,5.85%,6.92%,4.23%,-,AGR,9/30/2023 0:00,16.12,AGR
Q2 2023,87294,43004,207.37,-,3044723,610474,2434249,11301.52,3047786,20.93,8.67,1.25,6.24%,6.98%,5.30%,-,AGR,6/30/2023 0:00,13.15,AGR
Q1 2023,84512,43977,204,-,2831296,291204,2540092,11792.92,2022524,16.29,5.78,0.8,6.48%,7.09%,6.93%,-,AGR,3/31/2023 0:00,8.73,AGR
Q4 2022,95189,44307,131.61,600,2805191,307970,2497221,11593.62,1615471,12.39,4.4,0.65,4.65%,4.88%,9.06%,8.61%,AGR,12/31/2022 0:00,6.97,AGR
Q3 2022,84391,30264,140.75,-,2661930,160465,2501464,11613.32,2077600,11.86,5.24,0.83,3.20%,3.47%,8.43%,-,AGR,9/30/2022 0:00,8.96,AGR
Q2 2022,86059,21544,100.39,-,2546548,84248,2462300,11431.49,1994920,11.9,5.14,0.81,7.20%,8.10%,8.41%,-,AGR,6/30/2022 0:00,8.61,AGR
Q1 2022,101736,50227,233.26,-,2838241,330047,2508193,11644.56,4208199,10.43,10.71,1.68,11.07%,12.21%,9.58%,-,AGR,3/31/2022 0:00,18.16,AGR
Q4 2021,123968,73084,339.17,-,2739269,288228,2451041,11379.22,5405999,13.86,13.71,2.21,3.71%,3.95%,7.22%,-,AGR,12/31/2021 0:00,23.33,AGR
Q3 2021,76362,22830,106.3,-,2540400,202068,2338332,10855.96,3434399,10.3,10.45,1.47,-,46.95%,9.70%,-,AGR,9/30/2021 0:00,14.82,AGR
Q2 2021,90936,257152,1193.87,-,2383085,98125,2284960,10648.35,2914559,8.36,9.39,1.28,-,7.07%,11.96%,-,AGR,6/30/2021 0:00,12.62,AGR
Q1 2021,102905,37064,172.24,-,-,-,2096629,9770.7,2481599,20.54,8.87,1.18,2.88%,3.14%,4.87%,-,AGR,3/31/2021 0:00,10.75,AGR
Q4 2020,58461,16230,75.79,-,2286421,189792,2096629,9770.7,1816320,18.76,8.08,0.87,6.96%,7.55%,5.33%,-,AGR,12/31/2020 0:00,7.87,AGR
Q3 2020,57988,38047,176.18,-,2216459,177115,2039344,9503.74,1079232,10.56,4.81,0.53,5.60%,6.02%,9.47%,-,AGR,9/30/2020 0:00,4.67,AGR
Q2 2020,60336,29489,137.64,-,2155910,163986,1991925,9282.75,734976,9.41,3.38,0.37,2.50%,2.67%,10.63%,-,AGR,6/30/2020 0:00,3.18,AGR
Q1 2020,48011,13028,60.62,-,2052949,123837,1929111,8990.03,464640,7.38,2.24,0.24,Upgrade,Upgrade,13.55%,-,AGR,3/31/2020 0:00,2.01,AGR
Q4 2019,,,,,,,,,,,,,,,,,AGR,12/31/2019 0:00,3.28,AGR
Q3 2024,1484979,79597,1189,-,5174017,2218949,2955068,42181.21,4063161,12.3,0.67,1.37,6.95%,15.92%,8.13%,-,PTB,9/30/2024 0:00,59.8,PTB
Q2 2024,1608063,110441,1650.3,1000,5096195,2156322,2939873,41992.1,4759320,14.53,0.82,1.62,5.83%,12.90%,6.88%,5.07%,PTB,6/30/2024 0:00,69.07,PTB
Q1 2024,1436975,89179,1332.25,-,5148443,2383294,2765149,40503.88,4411241,13.85,0.78,1.6,4.99%,7.41%,7.22%,-,PTB,3/31/2024 0:00,64.02,PTB
Q4 2023,1547955,51226,765.37,1000,5306433,2495590,2810843,41196.51,3949366,13.53,0.7,1.41,6.43%,11.27%,7.39%,7.16%,PTB,12/31/2023 0:00,55.85,PTB
Q3 2023,1186850,76599,1184,1500,5121609,2358911,2762699,40482.02,3902509,12.34,0.67,1.41,7.58%,14.68%,8.10%,9.06%,PTB,9/30/2023 0:00,55.18,PTB
Q2 2023,1474311,101423,1490.66,1500,5125878,2383849,2742029,39537.51,3235226,9.1,0.53,1.18,5.19%,8.93%,10.99%,10.00%,PTB,6/30/2023 0:00,45.01,PTB
Q1 2023,1409454,62640,920.67,-,5127286,2304822,2822464,40402.3,2935857,7.17,0.45,1.04,6.25%,11.17%,13.94%,-,PTB,3/31/2023 0:00,39.1,PTB
Q4 2022,1722838,75618,1111.45,2000,5238298,2477037,2761261,39495.95,2850809,5.85,0.41,1.03,7.35%,17.88%,17.09%,7.90%,PTB,12/31/2022 0:00,37.97,PTB
Q3 2022,1546787,115950,1704,1000,5344987,2585792,2759194,39441.59,3537997,6.6,0.51,1.28,11.62%,24.57%,15.15%,2.95%,PTB,9/30/2022 0:00,46.08,PTB
Q2 2022,1897921,155153,2280.32,-,5477888,2835004,2642884,37735.14,4109520,7.02,0.58,1.55,9.14%,23.65%,14.25%,-,PTB,6/30/2022 0:00,53.52,PTB
Q1 2022,1718978,140570,2066.11,-,5458358,2923505,2534853,36152.73,5831644,10.54,0.86,2.3,8.20%,22.15%,9.49%,-,PTB,3/31/2022 0:00,75.59,PTB
