600163.SS,ZHONGMIN ENERGY,Utilities,Utilities - Renewable,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,6385118777.913818,nan,3.3552908897399902
600167.SS,LUENMEI HOLDING,Utilities,Utilities - Regulated Electric,2019,nan,nan,nan,nan,0.115385,nan,nan,nan,0.010137705938013919,26042847878.892334,nan,11.381766319274902
600168.SS,WUHAN HOLDING,Utilities,Utilities - Regulated Water,2019,nan,nan,nan,nan,0.085,nan,nan,nan,0.01910683661009508,4419299389.171875,nan,4.44866943359375
600170.SS,SH CONS,Industrials,Engineering & Construction,2019,nan,nan,nan,nan,0.135,nan,nan,nan,0.046080930018769915,26032502593.835938,nan,2.929628372192383
600171.SS,SHNAGHAI BELLING,Technology,Semiconductor Equipment & Materials,2019,nan,nan,nan,nan,0.045,nan,nan,nan,0.002966512290746611,10753886123.954346,nan,15.169328689575195
600173.SS,WOLONG REAL ESTATE,Real Estate,Real Estate - Development,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.02173165414501517,3223436096.145874,nan,4.6015825271606445
600176.SS,CJS,Basic Materials,Building Materials,2019,nan,nan,nan,nan,0.19685,nan,nan,nan,0.02335721938761077,33737668633.432617,nan,8.427801132202148
600177.SS,YOUNGOR,Consumer Cyclical,Apparel Manufacturing,2019,nan,nan,nan,nan,0.357143,nan,nan,nan,0.07229604833229826,22839826301.654297,nan,4.940007209777832
600178.SS,DONGAN ENGINE,Consumer Cyclical,Auto Parts,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,2215350497.041992,nan,4.704273223876953
600180.SS,CCS,Industrials,Integrated Freight & Logistics,2019,nan,nan,nan,nan,0.0468,nan,nan,nan,0.007412119534643775,6860963926.864685,nan,6.31398344039917
600182.SS,S GITI,Consumer Cyclical,Auto Parts,2019,nan,nan,nan,nan,0.08,nan,nan,nan,0.005103544619651956,5329629116.05835,nan,15.675379753112793
600183.SS,SYTECH,Technology,Electronic Components,2019,nan,nan,nan,nan,0.35,nan,nan,nan,0.018890703601005372,45011029782.646484,nan,18.527631759643555
600184.SS,NORTHEO,Industrials,Electrical Equipment & Parts,2019,nan,nan,nan,nan,0.035,nan,nan,nan,0.0031528168835614824,5647849328.91037,nan,11.101183891296387
600188.SS,YANKUANG ENERGY,Energy,Thermal Coal,2019,nan,nan,nan,nan,0.789744,nan,nan,nan,0.2214832653005877,21267149321.99597,nan,3.5657050609588623
600190.SS,ST JIN PORT,Industrials,Marine Shipping,2019,nan,nan,nan,nan,0.02,nan,nan,nan,0.0067640371214544494,5261591656.130249,nan,2.9568140506744385
