Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price,Time,SIZE
VNM,2024,2,1277.766482,16433.90321,0.181431862,0.301305589,14.50367242,0.292588114,4.089107689,0.057291667,3.598489585,140445000000000.0,54194000000000.0,62.81,2024-06-30,31.62359131713932
VNM,2024,3,1150.033658,15010.40778,0.177516218,0.296892058,13.35264281,0.388937933,4.083833092,0.062805873,4.368148453,128114000000000.0,57677100000000.0,69.55,2024-09-30,31.68588133024878
VNM,2023,1,888.4080575,15072.85258,0.159914349,0.256096197,18.94198363,0.299495049,4.876316517,0.028068027,1.914239455,153612000000000.0,49264800000000.0,68.2,2023-03-31,31.52823094601749
VNM,2023,2,1052.085196,16013.8544,0.16453037,0.26113208,19.18333487,0.280735218,4.71466757,0.027324503,1.764069933,157792000000000.0,50968800000000.0,64.56,2023-06-30,31.56223479674261
VNM,2023,3,1192.491458,14668.04737,0.165294039,0.268323123,16.68602514,0.381396214,4.581386894,0.030699405,2.140362503,140445000000000.0,54967400000000.0,69.72,2023-09-30,31.637761398156037
VNM,2023,4,1112.949066,15166.26337,0.175448007,0.288364207,15.7091475,0.335038881,4.397919143,0.030929535,1.979180957,139400000000000.0,52673400000000.0,63.99,2023-12-31,31.5951317002168
VNM,2022,1,1084.003056,15406.04935,0.193378065,0.29399637,14.81869218,0.339996926,4.705943643,0.053103448,3.493675864,151522000000000.0,52995500000000.0,65.79,2022-03-31,31.601228120215602
VNM,2022,2,996.6629342,16333.34556,0.178484091,0.267667774,16.28189897,0.31613984,4.518363964,0.052168022,3.252154473,154239000000000.0,53842200000000.0,62.34,2022-06-30,31.617078662242978
VNM,2022,3,1099.73584,14900.51771,0.167344508,0.249989772,19.04369805,0.338975601,5.409208028,0.047766749,3.085254344,168450000000000.0,51199900000000.0,64.59,2022-09-30,31.566758694847103
VNM,2022,4,894.337521,14282.1472,0.167284153,0.248039648,17.86099319,0.323128816,5.097272769,0.052884615,3.659615386,152149000000000.0,48482700000000.0,69.2,2022-12-31,31.512228149208113
VNM,2021,1,1232.522246,14991.71494,0.218770966,0.331462353,16.52923052,0.334708422,5.75651287,0.033603708,2.748447277,180363000000000.0,51051200000000.0,81.79,2021-03-31,31.56385016662926
VNM,2021,2,1356.387309,15131.73083,0.210381585,0.319365036,17.63947204,0.351978667,5.954375017,0.03218646,2.429112098,188305000000000.0,53046700000000.0,75.47,2021-06-30,31.60219377358716
VNM,2021,3,1399.91836,14878.97306,0.205703604,0.309775881,16.56204657,0.349407037,5.605225555,0.034772182,2.645815351,174302000000000.0,52067800000000.0,76.09,2021-09-30,31.583567831394557
VNM,2021,4,1050.742247,15829.65749,0.206996297,0.303104919,14.71934238,0.327798638,4.687404011,0.051886793,3.806933966,155075000000000.0,53332400000000.0,73.37,2021-12-31,31.607565142341137
VNM,2020,1,1587.772709,17233.75616,0.246819584,0.35554183,18.13103774,0.300105155,6.377019551,0.027297543,1.646860781,191377000000000.0,46073700000000.0,60.33,2020-03-31,31.461263404219324
VNM,2020,2,1469.969093,14421.38394,0.237783557,0.351246705,21.03619161,0.347625393,7.488879044,0.027777778,2.098055557,225682000000000.0,49596800000000.0,75.53,2020-06-30,31.534947431449144
VNM,2020,3,1472.56605,14044.00744,0.233065264,0.352795443,19.32627458,0.371155771,7.319848017,0.029182879,2.59640078,214816000000000.0,50396500000000.0,88.97,2020-09-30,31.55094284415005
VNM,2020,4,1045.558181,14975.04782,0.238347607,0.350243642,17.60626595,0.305277744,6.243719628,0.031016043,2.757016044,195411000000000.0,48432500000000.0,88.89,2020-12-31,31.51119219190751
VPI,2024,1,380.2855526,15825.66753,0.024147833,0.074535888,52.56865021,0.661715455,3.835541211,0.016474465,0.801647447,14689400000000.0,11932200000000.0,48.66,2024-03-31,30.11026174408992
VPI,2024,2,84.58205698,13251.00511,0.016662491,0.05174699,84.98413187,0.655720464,4.331746877,0.017421603,0.846341464,16668900000000.0,11799500000000.0,48.58,2024-06-30,30.099078273621057
VPI,2024,3,343.592899,14522.9078,0.022430343,0.069271496,65.06699667,0.630271073,4.035004616,0.017064846,0.99658703,18754900000000.0,11288700000000.0,58.4,2024-09-30,30.05482334131326
VPI,2023,1,1329.785972,14853.86068,0.067750751,0.218838953,17.10547349,0.667606438,3.561363685,0.018903592,0.879017014,12801800000000.0,11497000000000.0,46.5,2023-03-31,30.07310724770015
VPI,2023,2,445.6751878,15216.33892,0.058171919,0.18314917,20.4385831,0.643497302,3.581676267,0.018348624,0.790458718,13189000000000.0,11000600000000.0,43.08,2023-06-30,30.028970932693916
VPI,2023,3,163.0190867,15379.35801,0.054439668,0.166699478,22.07959656,0.634598673,3.5762221,0.018181818,0.802909092,13310000000000.0,10821400000000.0,44.16,2023-09-30,30.0125467709952
VPI,2023,4,165.7007621,15445.38198,0.042005182,0.136840647,28.04166865,0.682498716,3.722795596,0.017391304,0.797043476,13915000000000.0,12532700000000.0,45.83,2023-12-31,30.159362344464615
VPI,2022,1,292.2019153,13899.85827,0.041632454,0.13028826,33.01258379,0.682498928,4.460477135,0.016129032,0.737096776,13640000000000.0,10142400000000.0,45.7,2022-03-31,29.947745772476313
VPI,2022,2,871.7271921,13506.10289,0.05867363,0.179681496,24.33923215,0.670768682,4.43503211,0.016694491,0.781469114,14495800000000.0,10814500000000.0,46.81,2022-06-30,30.01190894217977
VRE,2024,1,476.4195877,17123.07343,0.09629406,0.120034639,10.55453385,0.206199563,1.211815162,0.0,0.0,47150600000000.0,49016200000000.0,25.85,2024-03-31,31.523171971643887
VRE,2024,2,449.5276698,17572.60154,0.092681553,0.117048769,9.695372604,0.236924548,1.089764652,0.0,0.0,43514900000000.0,52328400000000.0,20.45,2024-06-30,31.58856036064936
VRE,2024,3,398.8877597,17971.4893,0.080682124,0.10357985,9.389188233,0.232018967,0.937596196,0.0,0.0,38288600000000.0,53174900000000.0,19.1,2024-09-30,31.6046075964301
VRE,2023,1,450.573298,15146.99958,0.081700684,0.102385962,18.88444088,0.221806184,1.855152887,0.0,0.0,63852100000000.0,44259000000000.0,29.9,2023-03-31,31.42107985653209
VRE,2023,2,440.3383767,15587.33796,0.084385542,0.106337726,17.12666758,0.198023797,1.745006112,0.0,0.0,61807100000000.0,44194200000000.0,26.8,2023-06-30,31.41961467468242
VRE,2023,3,579.4394809,16166.777,0.094008208,0.118122702,12.70314902,0.177759771,1.428856228,0.0,0.0,52490600000000.0,44706300000000.0,26.1,2023-09-30,31.431135547214335
VRE,2023,4,469.7823137,16636.55931,0.09758417,0.123844207,12.4476,0.206214242,1.451622271,0.0,0.0,54876500000000.0,47653700000000.0,23.3,2023-12-31,31.494981392541998
VRE,2022,1,166.1012816,13639.56603,0.02409071,0.029695812,65.47468864,0.177630336,1.924548035,0.0,0.0,59648400000000.0,37730500000000.0,32.5,2022-03-31,31.261489901871027
VRE,2022,2,340.1693163,13979.73535,0.03411278,0.041818446,44.86889135,0.177654197,1.831222077,0.0,0.0,58171400000000.0,38671800000000.0,28.55,2022-06-30,31.286131768175846
VRE,2022,3,349.1592536,14329.01958,0.053573463,0.065534582,31.46185809,0.184073701,1.995949537,0.0,0.0,64988300000000.0,39951500000000.0,28.0,2022-09-30,31.31868733436963
VRE,2022,4,348.0955823,14695.27415,0.068906525,0.086649536,23.41029245,0.217432703,1.946203909,0.0,0.0,64988300000000.0,42658800000000.0,26.3,2022-12-31,31.384254699180897
VRE,2021,1,343.6732267,13238.64951,0.067446418,0.092409611,22.97243492,0.24291577,2.039482954,0.0,0.0,61352600000000.0,39780200000000.0,32.6,2021-03-31,31.314390416993824
VRE,2021,2,170.5363994,13409.18591,0.068936612,0.091789814,25.4422303,0.195419077,2.267102583,0.0,0.0,69078500000000.0,37913600000000.0,31.75,2021-06-30,31.266331002699726
VRE,2021,3,10.67324011,13419.85827,0.055849632,0.071945104,33.97310515,0.191207218,2.414332503,0.0,0.0,73623100000000.0,37746300000000.0,29.1,2021-09-30,31.261908573574935
VRE,2021,4,53.60736394,13473.46475,0.033839911,0.043826755,52.72360895,0.19070488,2.263708746,0.0,0.0,69305700000000.0,37873500000000.0,30.1,2021-12-31,31.26527277501343
VRE,2020,1,216.5563584,12063.32787,0.073963012,0.099448047,23.68453271,0.256527928,2.316939431,0.0,0.0,63511300000000.0,36915600000000.0,19.0,2020-03-31,31.239655341863056
VRE,2020,2,150.9942438,12214.32211,0.065245592,0.08826049,24.09127863,0.283069137,2.087713077,0.0,0.0,57944100000000.0,38760900000000.0,24.8,2020-06-30,31.28843312249578
VRE,2020,3,251.8414662,12466.16446,0.060363861,0.082769614,31.98736493,0.29236901,2.570959184,0.0,0.0,72827800000000.0,40079200000000.0,27.6,2020-09-30,31.32187861242611
VRE,2020,4,428.8127032,12894.97628,0.062966127,0.084629016,29.91863192,0.262353438,2.373017161,0.0,0.0,69532900000000.0,39769500000000.0,31.4,2020-12-31,31.314121402778444
VSH,2024,1,7.493601744,19457.37761,0.054271267,0.107514346,23.84658303,0.503084061,2.693065893,0.028625954,1.361164122,12379000000000.0,9250330000000.0,47.55,2024-03-31,29.855680342492196
VSH,2024,2,284.2609291,19718.2218,0.034762159,0.068583345,36.47836542,0.483387867,2.540797061,0.02994012,1.449700601,11835700000000.0,9016930000000.0,48.42,2024-06-30,29.830125037302068
VSH,2024,3,329.3619668,20086.81968,0.041397288,0.081025404,31.10841201,0.447898225,2.469280891,0.030241936,1.465826614,11717600000000.0,8595040000000.0,48.47,2024-09-30,29.78220640862106
VSH,2023,1,2017.634322,23259.9978,0.136171416,0.272947435,7.891733732,0.451466606,1.913155813,0.04494382,1.452584269,10512700000000.0,10017600000000.0,32.32,2023-03-31,29.935364661937456
VSH,2023,2,1108.223933,21368.22173,0.136348396,0.265445796,7.934243265,0.492293916,2.101251127,0.04454343,1.794654787,10607200000000.0,9942870000000.0,40.29,2023-06-30,29.927876827316222
VSH,2023,3,108.354728,21476.57646,0.116942698,0.222107977,9.666635037,0.467842838,2.183774499,0.042643923,1.686993602,11079700000000.0,9534130000000.0,39.56,2023-09-30,29.885899108028333
