,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q1 2023,507370,1804,150.32,-,215935,59820,156115,13009.62,116400,9.83,0.05,0.75,-16.22%,-20.33%,10.18%,-,PMB,2023-03-31 00:00:00,8.07,PMB
Q4 2022,565724,-8039,-,-,197721,43409,154312,-,133200,-,0.05,0.86,6.04%,14.45%,13.40%,-,PMB,2022-12-31 00:00:00,9.24,PMB
Q3 2022,663403,6108,509.01,-,258076,96111,161964,13497.03,163200,4.03,0.06,1.01,14.04%,27.66%,24.81%,-,PMB,2022-09-30 00:00:00,11.32,PMB
Q2 2022,783197,11973,997.76,-,236374,60118,176256,14688.02,171600,4.11,0.06,0.97,9.20%,18.86%,24.33%,-,PMB,2022-06-30 00:00:00,10.64,PMB
Q1 2022,723259,7803,650.29,-,297212,127192,170020,14168.31,232800,6.69,0.10,1.37,-,-,14.95%,-,PMB,2022-03-31 00:00:00,14.43,PMB
Q4 2021,612224,14598,1216.48,1700.000,229811,68904,160907,13408.96,204000,5.55,0.10,1.27,-,-,18.02%,13.44%,PMB,2021-12-31 00:00:00,12.65,PMB
Q3 2021,528054,7373,-,-,-,-,-,-,181200,8.11,0.10,-,4.09%,13.35%,12.33%,-,PMB,2021-09-30 00:00:00,11.23,PMB
Q2 2021,463172,5031,419.27,-,320433,168702,151731,12644.24,128400,8.95,0.09,0.85,14.77%,26.98%,11.17%,-,PMB,2021-06-30 00:00:00,7.39,PMB
Q1 2021,452925,9764,813.70,-,221719,72053,149666,12472.19,97200,5.30,0.07,0.65,-6.08%,0.49%,18.87%,-,PMB,2021-03-31 00:00:00,5.59,PMB
Q4 2020,283859,170.74,-,700.000,188556,48654,139902,-,112800,11.77,0.08,0.81,-4.42%,-1.70%,8.50%,10.79%,PMB,2020-12-31 00:00:00,6.49,PMB
Q3 2020,241965,-622.96,-,-,188556,48654,139902,-,111600,-,0.08,0.80,11.40%,24.19%,8.07%,-,PMB,2020-09-30 00:00:00,6.42,PMB
Q2 2020,423599,9029,601.66,-,185512,32619,152893,10188.18,123600,12.56,0.08,0.81,-,-,7.96%,-,PMB,2020-06-30 00:00:00,6.36,PMB
Q1 2020,384484,1011,-,-,171181,25480,145702,-,82800,8.39,0.06,0.57,Upgrade,Upgrade,11.92%,-,PMB,2020-03-31 00:00:00,4.26,PMB
Q4 2019,,,,,,,,,,,,,,,,,PMB,2019-12-31 00:00:00,4.26,PMB
Q3 2024,186002,3629,641.00,-,276498,140951,135548,23407.69,87816,7.15,0.18,0.65,1.78%,5.77%,13.98%,-,STC,2024-09-30 00:00:00,14.35,STC
Q2 2024,75625,1833,324.00,-,261504,129695,131810,22795.94,98014,7.36,0.20,0.74,2.46%,5.38%,13.59%,-,STC,2024-06-30 00:00:00,16.01,STC
Q1 2024,52128,1657,293.00,-,175366,37569,137797,23880.31,96881,6.94,0.19,0.70,4.15%,15.65%,14.41%,-,STC,2024-03-31 00:00:00,15.83,STC
Q4 2023,171243,5156,910.01,1400.000,208669,72368,136301,23551.01,108778,7.29,0.22,0.80,4.96%,14.47%,13.71%,7.82%,STC,2023-12-31 00:00:00,16.57,STC
Q3 2023,194252,4676,825.00,-,290216,154666,135550,23408.84,112744,6.75,0.22,0.83,-,-,14.81%,-,STC,2023-09-30 00:00:00,17.17,STC
Q2 2023,88041,2467,435.00,-,277198,146463,130735,22583.53,121242,7.62,0.25,0.93,-,-,13.12%,-,STC,2023-06-30 00:00:00,18.47,STC
Q1 2023,49772,2616,310.00,-,-,-,-,-,116143,7.08,0.23,-,-,-,14.12%,-,STC,2023-03-31 00:00:00,17.69,STC
Q4 2022,177997,6939,882.00,-,-,-,-,-,95181,5.70,0.18,-,4.14%,12.32%,17.55%,-,STC,2022-12-31 00:00:00,13.58,STC
Q3 2022,162096,3881,685.00,-,286620,155156,131464,22701.83,105945,5.00,0.17,0.81,-,9.45%,19.99%,-,STC,2022-09-30 00:00:00,15.12,STC
Q2 2022,115422,2965,523.00,-,268556,141079,127477,22016.89,124642,6.70,0.23,0.98,-,9.29%,14.91%,-,STC,2022-06-30 00:00:00,17.79,STC
Q1 2022,86752,2916,514.50,-,-,-,130200,22478.58,130874,6.79,0.23,1.01,-,-,14.73%,-,STC,2022-03-31 00:00:00,18.68,STC
Q4 2021,258745,11416,1184.00,-,240300,110100,130200,22478.58,121242,6.50,0.23,0.93,-,-,15.39%,-,STC,2021-12-31 00:00:00,16.25,STC
Q3 2021,75488,1293,166.00,-,-,-,-,-,116143,11.08,0.28,-,5.11%,12.44%,9.03%,-,STC,2021-09-30 00:00:00,15.56,STC
Q2 2021,139312,3657,645.00,-,235259,113154,122105,21053.09,102546,6.43,0.20,0.84,-,-,15.56%,-,STC,2021-06-30 00:00:00,13.74,STC
Q1 2021,46969,2297,405.00,-,161798,43432,118366,20396.70,96314,6.29,0.20,0.81,3.69%,11.89%,15.90%,-,STC,2021-03-31 00:00:00,12.91,STC
Q4 2020,150712,3235,340.85,-,198058,74398,123660,12723.09,96314,7.11,0.21,0.78,8.70%,24.70%,14.07%,-,STC,2020-12-31 00:00:00,12.0,STC
Q3 2020,179871,6768,713.06,-,198058,74398,123660,12722.53,77051,6.36,0.20,0.62,4.05%,10.12%,15.72%,-,STC,2020-09-30 00:00:00,9.6,STC
Q2 2020,100581,3009,531.00,-,221764,108369,113394,19680.89,74785,7.75,0.24,0.66,-0.24%,0.15%,12.90%,-,STC,2020-06-30 00:00:00,9.32,STC
Q1 2020,27315,541.68,96.00,-,138125,27564,110561,19156.62,83283,7.00,0.23,0.75,Upgrade,Upgrade,14.30%,-,STC,2020-03-31 00:00:00,10.38,STC
Q4 2019,,,,,,,,,,,,,,,,,STC,2019-12-31 00:00:00,7.85,STC
Q3 2024,605187,2825,227.47,-,337194,143284,193910,15637.90,105400,9.91,0.04,0.54,1.79%,4.88%,10.09%,-,TMC,2024-09-30 00:00:00,8.5,TMC
Q2 2024,643485,2328,188.00,-,363572,175312,188260,15201.22,120280,8.56,0.05,0.64,1.31%,4.22%,11.69%,-,TMC,2024-06-30 00:00:00,9.7,TMC
Q1 2024,635142,2046,165.00,-,383416,190044,193372,15595.17,119040,9.17,0.05,0.62,2.34%,7.15%,10.90%,-,TMC,2024-03-31 00:00:00,8.99,TMC
Q4 2023,664999,3440,277.00,600.000,343071,148816,194255,15665.72,111600,9.37,0.04,0.57,4.46%,13.30%,10.67%,7.12%,TMC,2023-12-31 00:00:00,8.43,TMC
Q3 2023,663863,6242,503.00,-,421832,231016,190815,15388.33,111600,13.03,0.04,0.58,0.73%,2.69%,7.67%,-,TMC,2023-09-30 00:00:00,8.43,TMC
Q2 2023,606486,1249,101.00,-,315868,131295,184573,14884.96,116560,-55.28,0.04,0.63,-,-,-1.81%,-,TMC,2023-06-30 00:00:00,8.8,TMC
Q1 2023,604346,974.37,79.00,-,335545,148500,187045,15165.22,126480,78.28,0.04,0.68,-0.34%,0.21%,1.28%,-,TMC,2023-03-31 00:00:00,9.26,TMC
Q4 2022,726818,98.5,8.00,-,390687,203680,187007,15188.33,158720,35.60,0.05,0.85,-3.80%,-9.37%,2.81%,-,TMC,2022-12-31 00:00:00,11.62,TMC
Q3 2022,808053,-4430,-357.00,-,388687,201779,186908,15073.23,174840,-,0.06,0.94,3.58%,10.14%,9.64%,-,TMC,2022-09-30 00:00:00,12.8,TMC
Q2 2022,863764,4973,301.00,-,416958,225620,191338,15430.51,192200,12.25,0.08,1.00,3.16%,7.67%,8.16%,-,TMC,2022-06-30 00:00:00,14.07,TMC
Q1 2022,675205,3817,231.00,-,335877,134911,200966,16206.95,198400,14.88,0.11,0.99,-,-,6.72%,-,TMC,2022-03-31 00:00:00,13.72,TMC
Q4 2021,608978,12491,706.00,-,331662,134434,197228,15905.49,157480,11.38,0.10,0.80,-,-,8.79%,-,TMC,2021-12-31 00:00:00,10.89,TMC
Q3 2021,156990,-5590,-316.00,-,-,-,-,-,136400,-,0.10,-,-,-,4.73%,-,TMC,2021-09-30 00:00:00,9.43,TMC
Q2 2021,425964,2616,148.00,-,346516,156189,190327,15348.91,148800,8.28,0.10,0.78,-,-,12.07%,-,TMC,2021-06-30 00:00:00,10.29,TMC
Q1 2021,376274,4325,262.00,-,-,-,-,-,157480,13.65,0.11,-,4.25%,10.51%,7.33%,-,TMC,2021-03-31 00:00:00,10.11,TMC
Q4 2020,369447,5095,280.00,-,319875,123404,196472,15844.50,187240,24.32,0.13,0.95,4.04%,12.58%,4.11%,-,TMC,2020-12-31 00:00:00,12.02,TMC
Q3 2020,333159,5926,326.00,-,303989,112613,191376,10528.32,177320,24.65,0.11,0.93,-3.87%,-8.13%,4.06%,-,TMC,2020-09-30 00:00:00,11.39,TMC
Q2 2020,291760,-3806,-209.00,-,293884,108457,185427,14953.80,169880,-,0.09,0.92,-0.15%,0.99%,3.95%,-,TMC,2020-06-30 00:00:00,10.91,TMC
Q1 2020,422172,483.8,27.00,-,269134,79901,189233,10560.87,186000,8.72,0.08,0.98,Upgrade,Upgrade,11.46%,-,TMC,2020-03-31 00:00:00,11.46,TMC
Q4 2019,,,,,,,,,,,,,,,,,TMC,2019-12-31 00:00:00,11.08,TMC
Q3 2024,85941,3739,573.55,-,145169,59752,85417,13104.31,74311,7.83,0.27,0.87,9.59%,17.96%,12.78%,-,HCC,2024-09-30 00:00:00,11.4,HCC
Q2 2024,73773,3768,578.00,-,132542,46780,85762,13156.87,76267,10.32,0.31,0.89,4.14%,6.45%,9.69%,-,HCC,2024-06-30 00:00:00,10.63,HCC
Q1 2024,54360,1313,201.00,-,130454,48350,82104,12569.82,70400,9.23,0.30,0.86,3.96%,3.35%,10.83%,-,HCC,2024-03-31 00:00:00,9.81,HCC
Q4 2023,59774,676.68,104.00,-,131258,50467,80791,12416.84,69097,8.45,0.29,0.86,5.09%,7.76%,11.83%,-,HCC,2023-12-31 00:00:00,9.63,HCC
Q3 2023,58194,1632,250.42,-,131258,50467,80791,12400.00,65837,7.42,0.27,0.81,9.73%,18.70%,13.47%,-,HCC,2023-09-30 00:00:00,9.17,HCC
Q2 2023,63924,4002,614.00,-,147236,59931,87306,13393.83,76267,6.21,0.29,0.87,4.87%,8.99%,16.10%,-,HCC,2023-06-30 00:00:00,9.37,HCC
Q1 2023,53189,1866,286.00,-,146407,62453,83954,12864.19,71052,6.21,0.25,0.85,4.88%,6.72%,16.09%,-,HCC,2023-03-31 00:00:00,8.73,HCC
Q4 2022,70838,1368,210.00,1500.000,151706,69619,82088,12603.47,59971,5.82,0.21,0.73,11.20%,25.42%,17.20%,20.35%,HCC,2022-12-31 00:00:00,7.37,HCC
Q3 2022,79382,5042,773.00,-,141150,60430,80720,12376.00,71704,8.54,0.27,0.89,-,-,11.71%,-,HCC,2022-09-30 00:00:00,8.81,HCC
Q2 2022,82900,3158,485.00,-,151636,73677,77960,11972.00,72356,19.11,0.32,0.93,-,4.02%,5.23%,-,HCC,2022-06-30 00:00:00,8.62,HCC
Q1 2022,49713,744.84,114.00,-,-,-,74185,11432.58,78223,30.02,0.37,1.05,-,-,3.33%,-,HCC,2022-03-31 00:00:00,9.32,HCC
Q4 2021,50818,-551.56,-85.00,350.000,142930,68745,74185,11432.58,79526,-,0.36,1.07,-,-,3.86%,3.70%,HCC,2021-12-31 00:00:00,9.47,HCC
Q3 2021,43009,434.04,63.00,-,-,-,-,-,75615,18.95,0.35,-,-,-,5.28%,-,HCC,2021-09-30 00:00:00,9.0,HCC
Q2 2021,69902,1978,286.00,-,-,-,-,-,67793,5.37,0.19,-,-,-,18.61%,-,HCC,2021-06-30 00:00:00,8.07,HCC
Q1 2021,58104,1206,175.00,-,-,-,-,-,69097,6.49,0.25,-,-,-,15.40%,-,HCC,2021-03-31 00:00:00,8.23,HCC
Q4 2020,43188,373.32,57.00,-,-,-,-,-,67793,7.18,0.31,-,-,-,13.92%,-,HCC,2020-12-31 00:00:00,8.07,HCC
Q3 2020,,,,,,,,,,,,,,,,,HCC,2020-09-30 00:00:00,9.08,HCC
Q2 2020,,,,,,,,,,,,,,,,,HCC,2020-06-30 00:00:00,7.73,HCC
Q1 2020,,,,,,,,,,,,,,,,,HCC,2020-03-31 00:00:00,6.39,HCC
Q4 2019,,,,,,,,,,,,,,,,,HCC,2019-12-31 00:00:00,7.46,HCC
Q3 2024,94646,8261,816.00,-,213152,77454,135698,15212.65,81081,6.36,0.27,0.60,3.83%,7.28%,15.72%,-,PDB,2024-09-30 00:00:00,9.1,PDB
Q2 2024,67788,2337,231.00,-,200059,72648,127411,14285.51,92664,16.57,0.34,0.73,2.16%,3.09%,6.03%,-,PDB,2024-06-30 00:00:00,10.4,PDB
Q1 2024,62272,1016,114.00,-,212512,81939,130573,14635.61,85536,19.21,0.31,0.66,3.34%,3.55%,5.21%,-,PDB,2024-03-31 00:00:00,9.14,PDB
Q4 2023,72257,1132,112.00,500.000,223280,93663,129618,12810.93,78408,-71.45,0.32,0.60,2.74%,3.51%,-1.40%,5.97%,PDB,2023-12-31 00:00:00,8.38,PDB
Q3 2023,70520,1108,97.50,-,223280,93663,129618,11393.79,86427,-12.02,0.36,0.67,-,-,-8.32%,-,PDB,2023-09-30 00:00:00,9.24,PDB
Q1 2023,35308,-4534,-509.00,-,-,-,127759,14317.46,87318,-,0.33,0.68,-4.43%,-15.20%,-4.46%,-,PDB,2023-03-31 00:00:00,9.33,PDB
Q4 2022,67611,-4959,-557.00,-,222466,94707,127759,14317.46,90882,-,0.30,0.71,1.73%,3.11%,4.15%,-,PDB,2022-12-31 00:00:00,9.71,PDB
Q3 2022,79742,1045,103.00,-,233974,100864,133110,14906.76,141669,26.51,0.50,1.06,-,13.04%,3.77%,-,PDB,2022-09-30 00:00:00,15.14,PDB
Q2 2022,81664,4557,450.00,-,253558,110767,142791,14073.49,138105,25.35,0.56,0.97,-,9.13%,3.95%,-,PDB,2022-06-30 00:00:00,13.94,PDB
Q1 2022,69179,3129,309.00,-,-,-,137077,15355.53,310958,77.42,1.19,2.27,-,-,1.29%,-,PDB,2022-03-31 00:00:00,31.38,PDB
Q4 2021,53270,-3387,-380.00,1000.000,227319,90242,137077,15355.53,217404,-,0.83,1.59,-,-,1.31%,4.56%,PDB,2021-12-31 00:00:00,21.94,PDB
