,no,s,n,marketCap,price,change,revenue,url
83,84,hnx/APS,Asia Pacific Securities JSC,522900000000.0,6300.0,0.0,237535804377.0,quote/hnx/APS
84,85,hnx/HLD,HUDLAND Real Estate Investment and Development JSC,518239360400.0,16400.0,0.0,28958565964.0,quote/hnx/HLD
85,86,hnx/DNC,Haiphong Electricity Water Machine Assembly JSC,513777920000.0,65500.0,-0.7575757575757576,937408787887.0,quote/hnx/DNC
86,87,hnx/VNC,Vinacontrol Group Corporation,511328377200.0,48500.0,5.434782608695652,820483069668.0,quote/hnx/VNC
87,88,hnx/NRC,Danh Khoi Group JSC,502675510200.0,5900.0,1.7241379310344829,5149234224.0,quote/hnx/NRC
88,89,hnx/VNF,Vinafreight JSC,497939316000.0,15800.0,1.282051282051282,1770162801727.0,quote/hnx/VNF
89,90,hnx/HVT,Viet Tri Chemical JSC,483474596000.0,44000.0,-0.4524886877828055,1451020006655.0,quote/hnx/HVT
90,91,hnx/PSI,Petrovietnam Securities Incorporated,472746270000.0,8400.0,0.0,247053506533.0,quote/hnx/PSI
91,92,hnx/AAV,AAV Group JSC,469116094800.0,6800.0,0.0,38485998242.0,quote/hnx/AAV
92,93,hnx/BTW,Ben Thanh Water Supply JSC,463320000000.0,49500.0,0.0,561464712365.0,quote/hnx/BTW
93,94,hnx/SJ1,Hung Hau Agricultural Corporation,460810789600.0,10600.0,0.0,1900091951654.0,quote/hnx/SJ1
94,95,hnx/SD9,Song Da 9 JSC,458735600000.0,13600.0,0.0,426909134428.0,quote/hnx/SD9
95,96,hnx/CTP,Hoa Binh Takara JSC,457191529200.0,37800.0,0.5319148936170213,37776526169.0,quote/hnx/CTP
96,97,hnx/NAG,Nagakawa Group JSC,451146524400.0,13200.0,0.0,2615442577866.0,quote/hnx/NAG
97,98,hnx/MBG,MBG Group JSC,432786744000.0,3500.0,0.0,311186580224.0,quote/hnx/MBG
98,99,hnx/EID,Hanoi Education Development and Investment JSC,423000000000.0,28500.0,0.0,1131861293497.0,quote/hnx/EID
99,100,hnx/NBW,Nha Be Water Supply JSC,422920000000.0,37900.0,1.0666666666666669,906053704717.0,quote/hnx/NBW
100,101,hnx/HTC,HocMon Trade JSC,402599829200.0,24400.0,0.0,1014753133557.0,quote/hnx/HTC
101,102,hnx/NBC,Vinacomin - Nui Beo Coal JSC,399590539200.0,10900.0,0.9259259259259258,2812769703303.0,quote/hnx/NBC
102,103,hnx/NFC,Ninh Binh Phosphate Fertilizer JSC,393281500000.0,24600.0,2.5,914381030925.0,quote/hnx/NFC
103,104,hnx/C69,1369 Construction JSC,389339823600.0,6300.0,-1.5625,1094406956824.0,quote/hnx/C69
104,105,hnx/TTL,Thang Long Joint Stock Corporation,389239410000.0,9300.0,0.0,1663955117694.0,quote/hnx/TTL
